       4:7f -- 8e 08|7e -- 1c 09|-- -- -- --|30* -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:79* -- -- --|78* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7f 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7d -- -- --|7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7b -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7c -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|-- 88 52 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 3a 0a|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:7d -- -- --|b8 -- -- --|bf* -- 52 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6 88 fb 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 3f 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 c4 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 ab 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- fd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- e1 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 52 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- a9 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 ab 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 52 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 3f 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 52 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- fd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- e1 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|b8* -- -- --|bf* -- a9 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- 88 52 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:75 -- -- --|b8 -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:74 -- -- --|bc 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- a9 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6 88 fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 9f 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 8e 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:75 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 7e 08|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:74 -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:75 -- -- --|b8 -- -- --|bf* -- 70 08|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- 88 -- --|bc 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- 8e 08|b6* -- ef 08|bf* -- 59 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      88:7a* -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:79* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b4* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:74 -- -- --|b3* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7f 88 8e 08|b3* 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- -- --|7e -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f* -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7d -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|-- 88 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 3a 0a|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:7d -- -- --|b8 -- -- --|bf* -- 67 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 1a 0a|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 3f 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6 88 df 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 ab 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 0c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- ef 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- b3 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 df 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 ab 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 0c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
